s_mm_fore,,s_mm_hind,,beta_deg_fore,,beta_deg_hind,,alpha_deg_fore,,alpha_deg_hind,,d_mm_fore,,d_mm_hind,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.020000000000000073,8.053019818083989,0.020000000000000073,15.543042953214979,0.020000000000000018,20.360408588538917,0.020000000000000018,25.35305466270961,0.017205921126972723,-20.521990413186586,0.01164262307431535,-20.234304985612425,0.020000000000000018,-0.7052870692406934,0.020000000000000018,1.1347086585097266
0.040000000000000036,11.031459581043102,0.040000000000000036,17.99976398489653,0.03999999999999998,20.577804446018376,0.03999999999999998,29.788852546652265,0.055354250630908874,-16.533270836280053,0.04820143884892086,-29.175879085890756,0.03999999999999998,-0.5770011666454842,0.03999999999999998,1.5452161568540248
0.06000000000000005,13.890959401708919,0.06000000000000005,19.730022336146792,0.06,20.58270977824361,0.06,33.9370177603455,0.09111830954084899,-16.946471527621952,0.06846773889788693,-41.68519678990742,0.06,-0.3800404241239228,0.06,1.9895286047498004
0.08000000000000007,16.609520270001134,0.08000000000000007,21.36075872978125,0.08000000000000002,20.583686698679685,0.08000000000000002,39.39238709036812,0.12926663904478508,-25.708103391348004,0.17933632151870127,139.35594626039642,0.08000000000000002,-0.1997181299134958,0.08000000000000002,2.221489832374438
0.10000000000000009,19.1276437216667,0.10000000000000009,21.73680586227857,0.09999999999999998,20.69021049098069,0.09999999999999998,47.86272276446698,0.15191720968774713,-37.206634457941846,0.18529699800369126,125.94099334937039,0.09999999999999998,-0.07150544142092485,0.09999999999999998,2.510953698645512
0.1200000000000001,20.91256434761725,0.1200000000000001,22.045815056995554,0.12,21.732194665030306,0.12,58.5523300957347,0.16383856265772723,-47.08079807556078,0.19125767448868125,111.88328380736789,0.12,0.09625419995251505,0.12,2.5714499197981056
0.14000000000000012,23.372248396934193,0.14000000000000012,21.472245844843737,0.14,24.121783405429824,0.14,69.82495659235389,0.2723228746845455,145.5969058063298,0.19841048627066937,96.80545728975085,0.14,0.2756533152540399,0.14,2.1320421752174283
0.16000000000000003,24.628368197971984,0.16000000000000003,20.55922300466468,0.16000000000000003,28.15889530771551,0.16000000000000003,80.72081416573951,0.27964599150896186,132.55220441084327,0.20913970394365133,82.23235763811738,0.16000000000000003,0.36296508958478313,0.16000000000000003,1.2479286457160619
0.18000000000000005,25.42658895462265,0.18000000000000005,19.344303067898718,0.17999999999999994,33.77258514549351,0.17999999999999994,93.22456279843243,0.28782063354551957,118.5389250507053,0.22988285811141662,67.19718409509039,0.17999999999999994,0.33729624305964023,0.17999999999999994,0.6395432214946837
0.20000000000000007,25.560175508336624,0.20000000000000007,17.64695959142452,0.19999999999999996,40.62963412654199,0.19999999999999996,104.40911322371284,0.2959952755820774,104.56118983605927,0.2680311876153527,64.80861751804218,0.19999999999999996,0.14159786265853924,0.19999999999999996,0.2983551662912305
0.22000000000000008,25.250787068886726,0.22000000000000008,16.25853120889432,0.21999999999999997,46.17276851259771,0.21999999999999997,112.47483607212769,0.3033183924064937,91.10773076741702,0.30398068979371473,72.23971353552565,0.21999999999999997,-0.2436023584543463,0.21999999999999997,0.15043890131363113
0.24,24.42718017313458,0.24,14.56836440032965,0.24,51.9163554523621,0.24,112.26522490774408,0.31166333948547964,78.02970673553182,0.3402745866134318,79.49664324009927,0.24,-0.7925582322549722,0.24,0.03713998342382396
0.26,23.050141780483415,0.26,12.663872323801897,0.26,59.23384153850316,0.26,108.30868911837797,0.3343139101284418,63.614334229518136,0.38199932200836195,84.17839960379274,0.26,-1.3468244520814068,0.26,0.16345423572761675
0.28000000000000014,21.095124451789307,0.28000000000000014,10.370598331877211,0.2799999999999999,71.30409176430106,0.2799999999999999,107.8187317221907,0.36769369844438593,62.00485089146798,0.42610832799728804,83.18138632274815,0.2799999999999999,-1.6354166209586865,0.2799999999999999,0.3785092097265377
0.30000000000000016,19.248851325993037,0.30000000000000016,8.2174367681773,0.30000000000000004,83.18297465464508,0.30000000000000004,107.56424811813014,0.405842027948322,73.90103208575124,0.47260160458021017,77.42323475307819,0.30000000000000004,-1.6220395019588238,0.30000000000000004,0.5128630997615851
0.3200000000000002,17.57081215594083,0.3200000000000002,6.155542091043415,0.32000000000000006,89.71928299190824,0.32000000000000006,107.16743192114438,0.4439903574522581,81.97177462148056,0.5159953293909375,83.28268713739953,0.32000000000000006,-1.3271759012776592,0.32000000000000006,0.5179161145809132
0.3400000000000001,15.806378451091653,0.3400000000000001,4.028422399777007,0.3400000000000001,92.24174570303518,0.3400000000000001,103.43235368836838,0.4821386869561942,87.2667415452106,0.5485731357798103,96.25355364884194,0.3400000000000001,-0.6766132563045559,0.3400000000000001,0.5409056159344736
0.3600000000000002,13.942089957800434,0.3600000000000002,1.7698016414852873,0.36,93.58580972117278,0.36,101.61903785390524,0.5202870164601304,95.59406838120901,0.5787016460130325,103.06833572540415,0.36,0.1506731910036585,0.36,0.5262991305841282
0.3800000000000002,11.880405345039058,0.3800000000000002,-0.42129555701859545,0.3800000000000001,94.73991453924833,0.3800000000000001,99.88129548282313,0.5584353459640665,98.06660800198142,0.6216185167049606,100.6454098077138,0.3800000000000001,0.9233907175281892,0.3800000000000001,0.3838022292084098
0.40000000000000024,9.745254467732615,0.40000000000000024,-2.1434382599969766,0.40000000000000013,96.14656761812512,0.40000000000000013,97.27035340371913,0.5965836754680027,88.47968551011786,0.6633432520998908,102.6151478703838,0.40000000000000013,1.4840256986654303,0.40000000000000013,0.024831635264401797
