t_fore,alpha_deg_fore,t_hind,alpha_deg_hind
0.0172059211269727,-20.521990413186582,0.0116426230743153,-20.234304985612425
0.0553542506309088,-16.533270836280053,0.0482014388489208,-29.175879085890756
0.0911183095408489,-16.946471527621952,0.0684677388978869,-41.68519678990742
0.129266639044785,-25.708103391348004,0.1793363215187012,139.35594626039642
0.1519172096877471,-37.206634457941846,0.1852969980036912,125.9409933493704
0.1638385626577272,-47.08079807556078,0.1912576744886812,111.88328380736787
0.2723228746845455,145.5969058063298,0.1984104862706693,96.80545728975083
0.2796459915089618,132.55220441084327,0.2091397039436513,82.23235763811738
0.2878206335455195,118.5389250507053,0.2298828581114166,67.19718409509039
0.2959952755820774,104.56118983605928,0.2680311876153527,64.80861751804218
0.3033183924064937,91.10773076741702,0.3039806897937147,72.23971353552565
0.3116633394854796,78.02970673553182,0.3402745866134318,79.49664324009927
0.3343139101284418,63.614334229518136,0.3819993220083619,84.17839960379274
0.3676936984443859,62.00485089146798,0.426108327997288,83.18138632274815
0.405842027948322,73.90103208575124,0.4726016045802101,77.42323475307819
0.4439903574522581,81.97177462148056,0.5159953293909375,83.28268713739953
0.4821386869561942,87.2667415452106,0.5485731357798103,96.25355364884194
0.5202870164601304,95.594068381209,0.5787016460130325,103.06833572540415
0.5584353459640665,98.06660800198142,0.6216185167049606,100.6454098077138
0.5965836754680027,88.47968551011786,0.6633432520998908,102.6151478703838
0.6328062479537111,81.9305058179408,0.6700986854495461,85.30218700375826
0.6681117932878828,89.39716876562477,0.6706663689243071,74.597475186481
0.701491581603827,102.03200173340906,0.6740724697728728,59.658270836281986
0.730102828731779,98.9763159756618,0.6792383893931977,43.99988994229909
0.7432163169987571,84.25304230932556,0.681225281554861,29.651903212113552
0.7548727510138487,70.08336870902383,0.683609552148857,15.320503749824184
0.7636529220901513,57.26970425923378,0.6859938227428528,0.9891042875347013
0.7730196994237073,44.62709600962296,0.6943387698218388,-14.615367985785497
0.7837489170966891,32.157765469284755,0.7185220858466557,-29.36915037700237
0.7992466759576633,18.206688363757507,0.7634826170477231,-23.717631243807773
0.8147444348186372,5.4996563504428195,0.7971008324230668,-22.224777133152656
0.8338185995706053,-6.591277141014189,0.8207051113036274,-22.224777133152656
0.8636219819955555,-17.466304655439444,0.8636219819955555,-22.26209848591907
0.9017703114994916,-21.82823776000987,0.9101152585784776,-19.487877930284867
0.9399186410034276,-22.877900806564412,0.9566085351613998,-17.78353615395372
0.978066970507364,-23.740957089286898,1.0076536010601325,-18.15335683136595
1.0162153000113,-22.901226652043302,1.038865870654262,-27.60971517515873
1.054363629515236,-21.85156360548899,1.054363629515236,-39.82801518796123
1.0919158913706732,-27.511968775056403,1.1568872650570643,147.52517569925942
1.1175468002561304,-40.29897511572767,1.1662540423906202,133.20977110244144
1.1294681532261104,-48.22531956039643,1.1759614298090324,118.14497743817128
1.2439131417379188,145.1881481331742,1.1854985121850166,104.23240649026025
1.2498738182229088,132.41002782887608,1.196908950027712,89.59710458401582
1.2582187653018948,118.16571152304152,1.2129176240159707,75.77043198770991
1.2653715770838827,103.92139521720708,1.2403367358469246,64.54736804867753
1.2735462191204403,89.68596494774545,1.283423911581281,71.238553437507
1.2808693359448569,76.92561671619308,1.3233093525179858,82.72286684590392
1.290273958843397,64.19488860588399,1.357165994952729,88.52633720107588
1.319017665448793,51.531546271403045,1.3953143244566653,84.09442656006843
1.352397453764737,56.46107494929561,1.432270518663603,76.05478515164441
1.377432295001695,68.83932361681116,1.478872171182616,77.45716325559306
1.4012750009416552,81.18929853223096,1.5061829070774797,87.44668378176266
1.432270518663603,93.4465355407765,1.5264492071264455,99.72274303098948
1.4692267128705414,104.78445149992956,1.551086669931071,110.63923871515522
1.5073750423744776,114.371373991793,1.59559305435233,110.37798924579056
1.5455233718784136,114.46467737370904,1.614667219104298,99.16292273949377
1.5753267543033638,102.76028646447514,1.632549248559268,86.56696618084095
1.600361595540322,90.01919131173099,1.644470601529248,70.0336069053352
1.6362173571654155,83.10756386672654,1.6526452435658057,55.833720781365514
1.671889713360202,85.96049419838732,1.6623526309842185,40.17652469223242
1.7040773663791484,83.12322317557971,1.671889713360202,26.268100561295228
1.7227180273867535,67.00718448100702,1.683811066330182,12.235271921136928
1.733880748804098,53.53756898259587,1.700500960488154,-1.6047297297285468
1.743247526137654,39.24882249489667,1.725774228784512,-14.68586387434425
1.7493785076650723,26.29298146313954,1.7612998606350525,-23.05414052796118
1.7577234547440586,13.603721522570709,1.8054088666239785,-25.210485354463117
1.7720290783080344,0.9766638366126016,1.8507100079099024,-20.619958964198304
1.7922953783570004,-11.74086985605186,1.8972032844928248,-19.031728063140235
1.8244830313759468,-21.128462395640327,1.943696561075747,-16.477288807130435
1.8626313608798823,-23.78760878024491,1.9889977023616712,-16.066753926700358
1.9007796903838188,-21.734934378094067,2.0317821135761553,-27.781511878368978
1.938928019887755,-21.361720850430174,2.0521808731025653,-37.67581717843359
1.9770763493916912,-22.201451287673763,2.0641022260725457,-48.94686571387979
2.0152246788956276,-22.131473751236857,2.16304945572338,146.67507821958077
2.0533730083995634,-24.673990908446285,2.170202267505368,132.78324135653986
2.082835780739657,-33.261234308353096,2.179739349881352,116.7765278367374
2.105826961467476,-45.64392599405528,2.18689216166334,103.21228951464582
2.22861689705827,145.4547292243626,2.196429244039324,87.66587267896205
2.2371321491796845,132.01904222846633,2.2107348676033,74.49972878637845
2.246328621470812,117.78361195900492,2.229809032355268,62.75594311589134
2.25245960299823,104.29460874487086,2.2715337677501983,62.86790717419058
