t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,d_mm_fore,d_mm_hind
0.02,8.053019818083989,15.54304295321498,20.360408588538917,25.35305466270961,-0.7052870692406934,1.1347086585097266
0.04,11.031459581043102,17.99976398489653,20.577804446018376,29.788852546652286,-0.5770011666454832,1.545216156854027
0.06,13.89095940170892,19.730022336146792,20.58270977824361,33.9370177603455,-0.3800404241239228,1.9895286047498004
0.08,16.609520270001134,21.36075872978125,20.583686698679685,39.39238709036812,-0.1997181299134958,2.221489832374438
0.1,19.1276437216667,21.73680586227857,20.690210490980697,47.86272276446704,-0.0715054414209238,2.5109536986455123
0.12,20.91256434761724,22.04581505699555,21.732194665030303,58.5523300957347,0.096254199952515,2.5714499197981056
0.14,23.372248396934182,21.47224584484374,24.121783405429824,69.82495659235389,0.2756533152540399,2.1320421752174283
0.16,24.628368197971984,20.55922300466468,28.15889530771551,80.72081416573951,0.3629650895847831,1.247928645716062
0.18,25.42658895462265,19.34430306789872,33.77258514549354,93.22456279843249,0.3372962430596393,0.6395432214946822
0.2,25.560175508336624,17.64695959142452,40.629634126542015,104.40911322371288,0.141597862658537,0.2983551662912296
0.22,25.250787068886726,16.25853120889432,46.17276851259774,112.47483607212769,-0.2436023584543493,0.1504389013136304
0.24,24.42718017313458,14.56836440032965,51.9163554523621,112.26522490774408,-0.7925582322549722,0.0371399834238239
0.26,23.050141780483415,12.663872323801897,59.23384153850316,108.30868911837796,-1.3468244520814068,0.1634542357276167
0.28,21.095124451789314,10.370598331877218,71.30409176430113,107.8187317221907,-1.6354166209586865,0.3785092097265384
0.3,19.248851325993048,8.217436768177313,83.18297465464508,107.56424811813014,-1.6220395019588238,0.5128630997615851
0.32,17.570812155940843,6.155542091043432,89.71928299190824,107.16743192114438,-1.3271759012776592,0.5179161145809132
0.34,15.806378451091655,4.028422399777013,92.24174570303516,103.4323536883684,-0.6766132563045578,0.5409056159344735
0.36,13.942089957800455,1.7698016414853124,93.58580972117278,101.61903785390524,0.1506731910036585,0.5262991305841282
0.38,11.88040534503908,-0.4212955570185711,94.73991453924832,99.88129548282312,0.9233907175281848,0.3838022292084105
0.4,9.745254467732634,-2.143438259996963,96.14656761812512,97.27035340371911,1.4840256986654288,0.0248316352644026
0.42,7.739592228886779,-3.9508143831377978,97.27951145250096,94.59700129186838,1.733192645793045,0.1316143620224602
0.44,5.757193714257152,-5.822029685868177,98.258101872069,93.32144294752072,1.7375919946625942,0.186476818727559
0.46,3.495814863812281,-7.551735060275949,99.03743923971108,92.33044106913346,1.7001393795295032,0.6185340306738318
0.48,1.1443267571229718,-9.222816844677284,99.99547473913074,91.59024435254034,1.5916571051223631,0.9375265420864984
0.5,-1.169878086407418,-10.599134936388865,100.27909934055192,89.14147843581493,1.2585171287229766,1.1953951943007142
0.52,-3.1707598469212774,-11.949267498976306,99.34031924221188,88.68563758066682,0.7909604839900436,1.3279108711934202
0.54,-4.959092070697535,-13.059315311635036,97.12304007544245,88.16491582772778,0.2914064584702053,1.4135118872802963
0.56,-6.6903622687045985,-14.341370493176036,94.51669990351422,88.4561044999515,-0.2234947530516891,1.2670820577548554
0.58,-8.518374123343873,-15.310392700101527,93.83275469847108,89.74222961950692,-0.6304403806985225,1.089928256232126
0.6,-10.24621035155208,-16.377268966545444,92.31307312417844,89.5836035999888,-0.7446239705523378,0.905289548090408
0.62,-12.165557841340243,-17.270965762913693,93.89925539342444,87.68480668892519,-0.5873786524831663,0.7678768725050334
0.64,-13.72647040038728,-17.51904821395284,92.54417180789125,83.930034655145,-0.3604578019287496,0.6014831650660525
0.66,-14.920815023121277,-17.430371191573787,87.98823965764286,76.46838220564292,-0.2878661161695473,0.3371842795932566
0.68,-15.560558599154174,-16.798002414422857,79.82563776788422,67.08442799000254,-0.3499480528130465,-0.0733093846182379
0.7000000000000001,-16.006035945744674,-15.955632066733068,69.16426679253357,57.997081713980414,-0.4130821303891341,-0.2040469866765497
0.72,-16.171346588931424,-15.292264061732908,58.53257944033471,50.972246426278545,-0.5027570275362103,-0.266277409349366
0.74,-15.938772085994149,-14.147199473385983,49.7387693259827,48.04087123971056,-0.6583950575957404,-0.1815746828799138
0.76,-15.734454448824048,-12.901237982756006,41.841342142889864,45.079574227029475,-0.7776867393634364,0.2855190740436273
0.78,-15.386373502522586,-11.099690358771202,33.732199213412464,44.27446320045774,-0.7128246727525266,0.8109620297596603
0.8,-14.726716585919837,-9.106467263555972,26.67625530759635,41.175296925456074,-0.4451306159853759,1.172857947370285
0.8200000000000001,-13.605764880080203,-6.9653758681918685,23.500727833031263,35.45348951526968,-0.1482828235370585,1.480953137364569
0.84,-12.2699739541224,-4.475323038358735,21.747939310308222,26.808170686731984,0.0252471787030941,1.2963807429562446
0.86,-10.65131879611487,-1.423306094262782,19.77342641229544,20.474621911329443,0.0506159636819378,0.975959246553659
0.88,-8.766195550261338,1.3030116481766507,18.108815903968367,14.872620339703913,-0.0450523003560307,0.4963970842475928
0.9,-6.7182912495657385,4.312499434449041,16.86787789305496,13.9568475145609,-0.2136515170746721,0.1381553489499466
0.92,-4.568876692892358,7.363385516512234,17.58301625894442,16.302696931520863,-0.3969329302420255,-0.014284689891123
0.94,-2.1899288671644115,10.287471218490778,17.90785383627109,16.607230522851857,-0.53111687881195,-0.1314874808208055
0.96,0.1094321216971908,13.152829339960268,19.419118771833674,17.339633738156042,-0.6224024108132765,0.0686922604915669
0.98,2.514644480859109,16.19398775800024,20.345446231736528,17.234725240162337,-0.6851122668926287,0.4233589799304151
